Company Name,Symbol,ISIN Code,Macro Sector,Sector,Industry,Basic Industry,Category,Justification,Notes
DCX Systems Ltd.,DCXINDIA,INE0KL801015,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Manufactures cable and wire harnesses, kitting and system integration for radar, missile, avionics and electronic-warfare platforms, largely as an offset partner to global defence primes. Defence is effectively its entire order book. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Data Patterns (India) Ltd.,DATAPATTNS,INE0IX101010,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Vertically integrated defence and aerospace electronics company - radar processors, avionics, electronic-warfare and satellite subsystems for indigenous missile, aircraft and naval programmes. Defence is its dominant end-market. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,INE382Z01011,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"State-owned warship builder for the Indian Navy and Coast Guard - frigates, corvettes, survey vessels and fast patrol craft, most carrying integrated weapon systems. Naval combat platforms are its core business. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Hindustan Aeronautics Ltd.,HAL,INE066F01020,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"India's principal military aircraft manufacturer - Tejas fighters, Dhruv, Prachand and Rudra helicopters, Su-30MKI licence production, aero-engines and avionics - together with overhaul of combat fleets. Military platforms are its core business. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Ideaforge Technology Ltd.,IDEAFORGE,INE349Y01013,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Designs and manufactures unmanned aerial systems for the armed forces, paramilitary and police - surveillance and tactical drones, and armed/loitering configurations. Military unmanned platforms are its core business. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
MTAR Technologies Ltd.,MTARTECH,INE864I01014,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Precision engineering manufacturer serving clean energy, nuclear power, aerospace, and defence. Defence and aerospace systems contribute ~15–20% of consolidated FY26 revenue, exceeding the 10% revenue threshold under Section 7, placing the company in Red.",
Mishra Dhatu Nigam Ltd.,MIDHANI,INE099Z01011,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"State-owned producer of superalloys, titanium and special steels whose principal customers are the strategic sectors - missile bodies and motor cases, armour plate, naval steels and aero-engine components - alongside space and power. Materials produced specifically for weapons and military platforms are its dominant line. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Paras Defence and Space Technologies Ltd.,PARAS,INE045601023,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Manufactures defence and space optics, electro-optic sighting and periscope systems, electromagnetic pulse protection and drone/anti-drone systems for the armed forces. Defence is its dominant end-market. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Zen Technologies Ltd.,ZENTEC,INE251B01027,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Manufactures live-fire and driving simulators, weapon-training systems and anti-drone hardware for the armed forces and police. Its output is produced specifically to train for, and to conduct, armed engagement, and defence is effectively its entire revenue. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
InterGlobe Aviation Ltd.,INDIGO,INE646L01027,Services,Services,Transport Services,Airline,Orange,"IndiGo — passenger and cargo airline. Air transport is animal-neutral and carried animal cargo is a tertiary, third-party link; however, the airline directly sells onboard non-veg meals (buy-on-board). Directly selling animal-derived food, though a small share of revenue, places it in Orange",
Dreamfolks Services Ltd.,DREAMFOLKS,INE0JS101016,Services,Services,Transport Infrastructure,Airport & Airport services,Green,Asset-light technology aggregator that connects card networks/banks with airport lounges and travel touchpoints (~95% share of India card-based lounge access). It operates no airports or lounges and serves no food itself — purely an intermediary platform; any F&B occurs at third-party lounge operators. Tertiary animal link → Green,
GMR Airports Ltd.,GMRAIRPORT,INE776C01039,Services,Services,Transport Infrastructure,Airport & Airport services,Green,Develops and operates airports — earns aeronautical charges and leases retail/F&B/lounge space to third-party operators; cargo handling moves third-party goods. A transport-infrastructure landlord that sells no animal product itself. Tertiary link → Green.,
Hindalco Industries Ltd.,HINDALCO,INE038A01020,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,Green,Refines and fabricates aluminium from bauxite ore. Metal refining does not involve animal testing or animal-derived inputs.,
National Aluminium Co. Ltd.,NATIONALUM,INE139A01034,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,Green,Refines and fabricates aluminium from bauxite ore. Metal refining does not involve animal testing or animal-derived inputs.,
Delta Corp Ltd.,DELTACORP,INE124G01033,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,Red,India's largest casino operator — casino gaming contributes 92%+ of revenue. Rated Red under the harmful-product (vice) category: gambling is listed as a vice in the framework.,
Imagicaaworld Entertainment Ltd.,IMAGICAA,INE172N01012,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,Orange,"Theme/water/snow-park operator whose core is rides and ticketing, but it directly operates restaurants selling non-veg meals. Directly serving animal-derived food — even as a minority of revenue — places it in Orange",
Wonderla Holidays Ltd.,WONDERLA,INE066O01014,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,Orange,"Operates amusement and water parks. Main business revenue (>80%) is derived from ticket sales and rides, while in-park food outlets serve non-vegetarian food options as a minor line (~10-15% revenue), placing the company in Orange under Section 8 and Table 6.",
Avanti Feeds Ltd.,AVANTIFEED,INE871C01038,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,Red,"Manufactures compound feed and supplements for poultry, dairy cattle, aquaculture, and livestock. Directly supports animal agriculture by providing nutrition to animals raised for meat, milk, and eggs. Revenue is directly linked to animal farming volumes.",
Godrej Agrovet Ltd.,GODREJAGRO,INE850D01014,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,Red,"Manufactures compound feed and supplements for poultry, dairy cattle, aquaculture, and livestock. Directly supports animal agriculture by providing nutrition to animals raised for meat, milk, and eggs. Revenue is directly linked to animal farming volumes.",
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,INE404A01024,Financial Services,Financial Services,Capital Markets,Asset Management Company,Orange,Manages mutual fund and investment portfolios where AUM includes holdings in animal-dependent companies. Investment decisions deploy investor capital into animal-harming industries.,
HDFC Asset Management Company Ltd.,HDFCAMC,INE127D01025,Financial Services,Financial Services,Capital Markets,Asset Management Company,Orange,Manages mutual fund and investment portfolios where AUM includes holdings in animal-dependent companies. Investment decisions deploy investor capital into animal-harming industries.,
Nippon Life India Asset Management Ltd.,NAM-INDIA,INE298J01013,Financial Services,Financial Services,Capital Markets,Asset Management Company,Orange,Manages mutual fund and investment portfolios where AUM includes holdings in animal-dependent companies. Investment decisions deploy investor capital into animal-harming industries.,
UTI Asset Management Company Ltd.,UTIAMC,INE094J01016,Financial Services,Financial Services,Capital Markets,Asset Management Company,Orange,Manages mutual fund and investment portfolios where AUM includes holdings in animal-dependent companies. Investment decisions deploy investor capital into animal-harming industries.,
ASK Automotive Ltd.,ASKAUTOLTD,INE491J01022,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Amara Raja Energy & Mobility Ltd.,ARE&M,INE885A01032,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures lead-acid and lithium-ion batteries and energy-storage products under the Amaron and PowerZone brands for automotive, industrial and telecom use. Batteries are made from lead, sulphuric acid, plastics and lithium cells with no material animal-derived input, so Green.",
Asahi India Glass Ltd.,ASAHIINDIA,INE439A01020,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive safety glass (laminated and tempered) and architectural glass. Glass is inorganic (silica, soda ash, minerals) with no material animal-derived input, so Green - consistent with Borosil and the glass sector.",
Banco Products (India) Ltd.,BANCOINDIA,INE213C01025,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Bharat Forge Ltd.,BHARATFORG,INE465A01025,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Red,"Automotive and industrial forging major. Artillery guns, armoured vehicles, and defence systems manufactured through subsidiary Kalyani Strategic Systems contribute ~12–15% of consolidated FY26 revenue, exceeding the 10% threshold under Section 7, placing the company in Red.",
Bosch Ltd.,BOSCHLTD,INE323A01026,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive technology - powertrain, fuel-injection and mobility systems - alongside power tools and building technologies. Metal, plastic and electronic manufacturing with no animal-derived input and no defence business, so Green. (Corrects a justification and Red band previously carried over in error from BEML.)",
CIE Automotive India Ltd.,CIEINDIA,INE536H01010,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Craftsman Automation Ltd.,CRAFTSMAN,INE00LO01017,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Endurance Technologies Ltd.,ENDURANCE,INE913H01037,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Exide Industries Ltd.,EXIDEIND,INE302A01020,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures lead-acid storage batteries for automotive, industrial, inverter and submarine use, plus lithium-ion cells and battery packs. Batteries are made from lead, sulphuric acid, plastics and lithium with no material animal-derived input, so Green.",
Fiem Industries Ltd,FIEMIND,INE737H01014,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive electrical and electronic components - wiring harnesses, switches, locks, lighting, instrument clusters, sensors and electronics - from copper, plastics and electronic materials, with no material animal-derived input, so Green.",
Gabriel India Ltd.,GABRIEL,INE524A01029,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
JBM Auto Ltd.,JBMA,INE927D01051,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures sheet-metal stampings, tools & dies and electric buses from steel and polymers, with no material animal-derived input, so Green.",
JTEKT India Ltd.,JTEKTINDIA,INE643A01035,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Jamna Auto Industries Ltd.,JAMNAAUTO,INE039C01032,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Minda Corporation Ltd.,MINDACORP,INE842C01021,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive electrical and electronic components - wiring harnesses, switches, locks, lighting, instrument clusters, sensors and electronics - from copper, plastics and electronic materials, with no material animal-derived input, so Green.",
Motherson Sumi Wiring India Ltd.,MSUMI,INE0FS801015,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive electrical and electronic components - wiring harnesses, switches, locks, lighting, instrument clusters, sensors and electronics - from copper, plastics and electronic materials, with no material animal-derived input, so Green.",
NRB Bearings Ltd.,NRBBEARING,INE349A01021,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures anti-friction bearings (needle-roller and ball/roller bearings) and precision engineering products from steel for automotive and industrial use. A metallurgical product with no material animal-derived input, so Green.",
Pricol Ltd.,PRICOLLTD,INE726V01018,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive electrical and electronic components - wiring harnesses, switches, locks, lighting, instrument clusters, sensors and electronics - from copper, plastics and electronic materials, with no material animal-derived input, so Green.",
Ramkrishna Forgings Ltd.,RKFORGE,INE399G01023,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Rolex Rings Ltd.,ROLEXRINGS,INE645S01024,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Samvardhana Motherson International Ltd.,MOTHERSON,INE775A01035,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Diversified auto-component group with over 95% of revenue from wiring harnesses, rear-view mirror and vision systems, and polymer modules; any upholstery or leather is an immaterial part of a synthetic-and-metal product base, so Green.",
Sansera Engineering Ltd.,SANSERA,INE953O01021,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Schaeffler India Ltd.,SCHAEFFLER,INE513A01022,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures anti-friction bearings (needle-roller and ball/roller bearings) and precision engineering products from steel for automotive and industrial use. A metallurgical product with no material animal-derived input, so Green.",
Sharda Motor Industries Ltd.,SHARDAMOTR,INE597I01028,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
SPR Auto Technologies Ltd.,SHRIPISTON,INE526E01018,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Sona BLW Precision Forgings Ltd.,SONACOMS,INE073K01018,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Steel Strips Wheels Ltd.,SSWL,INE802C01033,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Subros Ltd.,SUBROS,INE287B01021,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Sundram Fasteners Ltd.,SUNDRMFAST,INE387A01021,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures forged, cast and machined metal components (powertrain, chassis, fasteners and springs) for automotive and industrial use. These are metallurgical steel and aluminium products with no material animal-derived input; supplying generic parts to vehicle makers is not a basis for escalation, so Green - consistent with the AIA Engineering and Happy Forgings rating.",
Suprajit Engineering Ltd.,SUPRAJIT,INE399C01030,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Tube Investments of India Ltd.,TIINDIA,INE974X01010,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
UNO Minda Ltd.,UNOMINDA,INE405E01023,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive electrical and electronic components - wiring harnesses, switches, locks, lighting, instrument clusters, sensors and electronics - from copper, plastics and electronic materials, with no material animal-derived input, so Green.",
Varroc Engineering Ltd.,VARROC,INE665L01035,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures automotive electrical and electronic components - wiring harnesses, switches, locks, lighting, instrument clusters, sensors and electronics - from copper, plastics and electronic materials, with no material animal-derived input, so Green.",
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,INE342J01019,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Green,"Manufactures mechanical automotive systems - suspension, braking, steering, cooling, exhaust and emission control, air-conditioning, pistons and rings, wheels and control cables - from metals and synthetic polymers. Stearic acid used in rubber processing is a trace vulcanisation aid that is as often plant-derived, so there is no material animal-derived input - Green.",
Landmark Cars Ltd.,LANDMARK,INE559R01029,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer,Green,"Operates multi-brand automobile dealerships and authorized service centres. Vehicle sales and aftermarket servicing involve standard automotive retail; optional OEM leather trim is an externally manufactured option, with no direct animal-derived product manufacturing by the company.",
Advanced Enzyme Tech Ltd.,ADVENZYMES,INE837H01020,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,Red,"Enzyme maker whose portfolio spans human nutrition, industrial processing and a dedicated Animal Nutrition business supplying feed enzymes to the poultry, aqua and livestock industries, alongside animal-sourced enzyme preparations. Products made specifically for animal-rearing industries, plus animal-derived inputs, place it in Red under Section 8.",
Radico Khaitan Ltd,RADICO,INE944F01028,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,Red,"Produces Indian-made foreign liquor - whisky, rum, vodka and brandy (Magic Moments, 8PM, Rampur). Rated Red because alcoholic beverages are treated as a harmful product category under AIM's criteria; this reflects that scope, not animal-derived inputs, as spirits are distilled from molasses or grain.",
Sula Vineyards Ltd.,SULA,INE142Q01026,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,Red,"India's largest winemaker, producing wine from grapes (Sula, RASA, Dindori). Rated Red because alcoholic beverages are treated as a harmful product category under AIM's criteria; this reflects that scope, not animal-derived inputs.",
Tilaknagar Industries Ltd.,TI,INE133E01013,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,Red,"Producer of Indian-made foreign liquor, primarily brandy (Mansion House, Courrier Napoleon). Rated Red because alcoholic beverages are treated as a harmful product category under AIM's criteria; this reflects that scope, not animal-derived inputs.",
United Breweries Ltd.,UBL,INE686F01025,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,Red,"India's largest brewer, producing beer (Kingfisher) from barley, hops and yeast. Rated Red because alcoholic beverages are treated as a harmful product category under AIM's criteria; this reflects that scope, not animal-derived inputs.",
United Spirits Ltd.,UNITDSPR,INE854D01024,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,Red,"India's largest spirits producer (Diageo group) - whisky, rum, vodka and gin (McDowell's, Royal Challenge, Signature, Johnnie Walker). Rated Red because alcoholic beverages are treated as a harmful product category under AIM's criteria; this reflects that scope, not animal-derived inputs.",
Firstsource Solutions Ltd.,FSL,INE684F01012,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Green,Provides outsourcing and knowledge process services. Service delivery does not involve animal testing or animal-derived inputs.,
eClerx Services Ltd.,ECLERX,INE738I01010,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Green,Provides outsourcing and knowledge process services. Service delivery does not involve animal testing or animal-derived inputs.,
Finolex Cables Ltd.,FINCABLES,INE235A01022,Industrials,Capital Goods,Industrial Products,Cables - Electricals,Green,"Manufactures insulated electrical wires, power cables and communication cables - copper and aluminium conductors with PVC and XLPE insulation - for construction, infrastructure and telecom. This is electrical-hardware manufacturing with no animal-derived product line, so Green.",
KEI Industries Ltd.,KEI,INE878B01027,Industrials,Capital Goods,Industrial Products,Cables - Electricals,Green,"Manufactures insulated wires, power cables, and communication cables using copper, aluminium, PVC, and XLPE. Zero animal-derived inputs in materials or processes, no animal testing mandated under BIS standards (IS 1554/IS 7098). Green — purely inorganic industrial manufacturing.",
Polycab India Ltd.,POLYCAB,INE455K01017,Industrials,Capital Goods,Industrial Products,Cables - Electricals,Green,"Manufactures insulated wires, power cables, and communication cables using copper, aluminium, PVC, and XLPE. Zero animal-derived inputs in materials or processes, no animal testing mandated under BIS standards (IS 1554/IS 7098). Green — purely inorganic industrial manufacturing.",
R R Kabel Ltd.,RRKABEL,INE777K01022,Industrials,Capital Goods,Industrial Products,Cables - Electricals,Green,"Manufactures insulated wires, power cables, and communication cables using copper, aluminium, PVC, and XLPE. Zero animal-derived inputs in materials or processes, no animal testing mandated under BIS standards (IS 1554/IS 7098). Green — purely inorganic industrial manufacturing.",
PCBL Chemical Ltd.,PCBL,INE602A01031,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,Green,"Manufactures carbon black (for tyres, rubber, plastics and inks) and specialty carbons from petrochemical feedstock (carbon black oil) - no material animal-derived input, so Green, consistent with the specialty-chemicals sector.",
AIA Engineering Ltd.,AIAENG,INE212H01026,Industrials,Capital Goods,Industrial Products,Castings & Forgings,Green,"Manufactures high-chromium grinding media, mill liners and wear parts for the cement, mining and thermal-power industries. These are metallurgical (high-chrome alloy) products with no animal-derived input; supplying generic wear parts to industrial customers is not a basis for escalation, so Green - consistent with Happy Forgings.",
Happy Forgings Ltd.,HAPPYFORGE,INE330T01021,Industrials,Capital Goods,Industrial Products,Castings & Forgings,Green,"Manufactures forged and machined components (crankshafts, axles, gears) for commercial vehicles, off-highway, farm and industrial equipment. Forging and machining are metallurgical processes using steel with no material animal-derived input, so Green.",
